Daily Predicted,Date,Real Average Monthly/30
1481.856387,Dec 2018,
1453.315697,Dec 2018,
1624.559837,Dec 2018,
1139.368107,Dec 2018,
1738.722597,Dec 2018,
1624.559837,Dec 2018,
1367.693627,Dec 2018,
1110.827417,Dec 2018,
1139.368107,Dec 2018,
1110.827417,Dec 2018,
1053.746037,Dec 2018,
1196.449487,Dec 2018,
1596.019147,Dec 2018,
1596.019147,Dec 2018,
1282.071557,Dec 2018,
911.0425872,Dec 2018,
1118.07864,Dec 2018,
1146.61933,Dec 2018,
1146.61933,Dec 2018,
1232.2414,Dec 2018,
1289.32278,Dec 2018,
1317.86347,Dec 2018,
1346.40416,Dec 2018,
1460.56692,Dec 2018,
1203.70071,Dec 2018,
1374.94485,Dec 2018,
