Date,Henry Hub Daily Price
Jul-2013,3.69
Jul-2013,3.65
Jul-2013,3.52
Jul-2013,3.54
Jul-2013,3.58
Jul-2013,3.52
Jun-2013,3.57
Jun-2013,3.73
Jun-2013,3.72
Jun-2013,3.77
Jun-2013,3.81
Jun-2013,3.85
Jun-2013,3.9
Jun-2013,3.93
Jun-2013,3.9
Jun-2013,3.78
Jun-2013,3.76
Jun-2013,3.73
Jun-2013,3.74
Jun-2013,3.77
Jun-2013,3.85
Jun-2013,3.79
Jun-2013,3.93
Jun-2013,3.99
Jun-2013,4
Jun-2013,4
May-2013,4.02
May-2013,4.12
May-2013,4.15
May-2013,4.19
May-2013,4.15
May-2013,4.15
May-2013,4.16
May-2013,4.13
May-2013,4.1
May-2013,3.89
May-2013,4.01
May-2013,4.03
May-2013,3.93
May-2013,3.87
May-2013,3.9
May-2013,3.87
May-2013,3.86
May-2013,3.88
May-2013,3.93
May-2013,3.98
May-2013,4.28
May-2013,4.31
Apr-2013,4.3
Apr-2013,4.28
Apr-2013,4.16
Apr-2013,4.19
Apr-2013,4.25
Apr-2013,4.27
Apr-2013,4.33
Apr-2013,4.38
Apr-2013,4.23
Apr-2013,4.24
Apr-2013,4.19
Apr-2013,4.23
Apr-2013,4.21
Apr-2013,4.11
Apr-2013,4.07
Apr-2013,4.08
Apr-2013,4.18
Apr-2013,3.98
Apr-2013,3.94
Apr-2013,4
Apr-2013,4.07
Apr-2013,3.97
Mar-2013,4.03
Mar-2013,4.08
Mar-2013,3.99
Mar-2013,4.08
Mar-2013,4.01
Mar-2013,4.01
Mar-2013,3.97
Mar-2013,3.96
Mar-2013,3.98
Mar-2013,3.89
Mar-2013,3.74
Mar-2013,3.72
Mar-2013,3.71
Mar-2013,3.64
Mar-2013,3.57
Mar-2013,3.54
Mar-2013,3.57
Mar-2013,3.63
Mar-2013,3.53
Mar-2013,3.54
Feb-2013,3.48
Feb-2013,3.49
Feb-2013,3.46
Feb-2013,3.42
Feb-2013,3.27
Feb-2013,3.29
Feb-2013,3.34
Feb-2013,3.23
Feb-2013,3.19
Feb-2013,3.3
Feb-2013,3.29
Feb-2013,3.3
Feb-2013,3.2
Feb-2013,3.26
Feb-2013,3.39
Feb-2013,3.41
Feb-2013,3.34
Feb-2013,3.27
Feb-2013,3.34
Jan-2013,3.33
Jan-2013,3.24
Jan-2013,3.14
Jan-2013,3.25
